City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Abong Mbang,CM,83.57,clear sky,3.9833,13.1833,Bagofit Sun City
2,Kulhudhuffushi,MV,80.44,broken clouds,6.6221,73.07,Asseyri Tourist Inn
3,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,Busselton,AU,69.08,clear sky,-33.65,115.3333,Observatory Guest House
8,Rikitea,PF,78.64,few clouds,-23.1203,-134.9692,People ThankYou
11,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
12,Mackay,AU,73.69,scattered clouds,-21.15,149.2,Windmill Motel and Events Centre
14,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
16,Mbini,GQ,82.22,broken clouds,1.574,9.6134,
17,Arraial Do Cabo,BR,71.46,mist,-22.9661,-42.0278,Pousada Porto Praia
19,Mar Del Plata,AR,82.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
21,Hermanus,ZA,69.91,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
23,Avera,US,66.38,clear sky,33.194,-82.5271,Warthen RV Park
25,Port Elizabeth,ZA,69.17,scattered clouds,-33.918,25.5701,"Radisson Blu Hotel, Port Elizabeth"
27,Port Alfred,ZA,72.27,few clouds,-33.5906,26.891,The Halyards Hotel
28,East London,ZA,73.4,clear sky,-33.0153,27.9116,Tu Casa
32,Butaritari,KI,81.27,light rain,3.0707,172.7902,Isles Sunset Lodge
35,Kapaa,US,66.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Tevaitoa,PF,80.71,light rain,-16.7833,-151.5,Hôtel Atiapiti
37,Georgetown,MY,80.53,light rain,5.4112,100.3354,Cititel Penang
39,Avarua,CK,71.65,few clouds,-21.2078,-159.775,Little Polynesian Resort
41,Kalmunai,LK,77.81,few clouds,7.4167,81.8167,Thompukandam Village Resort
42,Lavumisa,SZ,76.96,broken clouds,-27.31,31.892,Tamboti Ridge Bed and Breakfast
47,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Hôtel L'Ecrin
48,Port Blair,IN,79.38,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
50,Kloulklubed,PW,82.06,overcast clouds,7.0419,134.2556,Carp Island Resort
53,Kiama,AU,70.38,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
54,Santa Barbara,US,76.33,clear sky,34.7333,-120.0343,Hotel Corque
56,Isangel,VU,80.11,overcast clouds,-19.55,169.2667,Volcanic Village Vista
59,The Valley,AI,84.06,few clouds,18.217,-63.0578,"Sonesta Maho Beach Resort, Casino & Spa"
60,Santa Cruz De La Palma,ES,75.34,clear sky,28.6835,-17.7642,H10 Taburiente Playa
62,Atuona,PF,78.19,light rain,-9.8,-139.0333,Villa Enata
64,Lodja,CD,74.95,scattered clouds,-3.4833,23.4333,Veral Lodge
66,San Quintin,MX,68.52,clear sky,30.4833,-115.95,Cielito Lindo
69,Bengkulu,ID,76.6,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
73,Kavaratti,IN,79.72,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
74,Bredasdorp,ZA,69.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
75,Vaini,TO,80.53,light rain,-21.2,-175.2,Little Italy Hotel
82,San Nicolas,PH,75.15,clear sky,18.1725,120.5953,NORTHVIEW Hotel
85,Srandakan,ID,78.55,heavy intensity rain,-7.9386,110.2506,ibis Styles Yogyakarta
86,Castro,BR,77.85,few clouds,-24.7911,-50.0119,L'acqua Motel Express
90,Cape Town,ZA,75.09,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
95,Hobyo,SO,76.64,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
96,Sattenapalle,IN,67.66,scattered clouds,16.4,80.1833,bala krishna hotel
99,Carutapera,BR,82.85,broken clouds,-1.195,-46.02,Lidera
103,Talara,PE,84.96,scattered clouds,-4.5772,-81.2719,Las Dunas de Vichayito
106,Carnarvon,AU,80.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
108,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,Gîte de Roche Plate
114,Lorengau,PG,80.38,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
116,Meulaboh,ID,75.92,overcast clouds,4.1363,96.1285,Kost Pria
118,Dutlwe,BW,82.71,broken clouds,-23.9833,23.9,
119,Constitucion,CL,67.71,broken clouds,-35.3333,-72.4167,Hotel Playa El Cable
120,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Hilton Barbados Resort
122,Dawson,US,66.58,clear sky,31.7735,-84.4466,Country Hearth Inn & Suites Dawson
123,Victoria Point,AU,70.92,clear sky,-27.5833,153.3,Manly Marina Cove Motel
124,Chuy,UY,79.56,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
127,Mayumba,GA,79.61,scattered clouds,-3.432,10.6554,LIKWALE LODGE
130,Outram,MY,75.22,moderate rain,1.2829,103.8379,Grand Copthorne Waterfront
132,Marandahalli,IN,69.04,clear sky,12.4,78.0,The Savoy Farm Stay
134,Cabo San Lucas,MX,74.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
136,Daru,PG,79.59,overcast clouds,-9.0763,143.2092,Daru Lodge
144,Pombas,CV,80.38,overcast clouds,17.1503,-25.0201,Residencial Nova Cidade
145,Hithadhoo,MV,82.09,overcast clouds,-0.6,73.0833,"Shangri-La's Villingili Resort & Spa, Maldives"
147,Vao,NC,81.68,moderate rain,-22.6667,167.4833,Le Méridien Ile des Pins
150,Lucea,JM,79.86,clear sky,18.451,-78.1736,Hedonism II Resort
152,Kimbe,PG,76.28,light rain,-5.5502,150.1429,Walindi Plantation Resort
