City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lugovoy,KZ,2022-02-10 17:10:27,42.9472,72.7644,25.03,74,96,5.86,overcast clouds
1,Abong Mbang,CM,2022-02-10 17:10:28,3.9833,13.1833,83.57,20,4,1.97,clear sky
2,Kulhudhuffushi,MV,2022-02-10 17:10:28,6.6221,73.07,80.44,77,56,12.39,broken clouds
3,Puerto Ayora,EC,2022-02-10 17:10:15,-0.7393,-90.3518,82.36,84,80,5.01,broken clouds
4,Tuktoyaktuk,CA,2022-02-10 17:10:28,69.4541,-133.0374,-7.42,98,100,4.97,light snow
5,Busselton,AU,2022-02-10 17:10:29,-33.65,115.3333,69.08,73,4,7.58,clear sky
6,Saint George,US,2022-02-10 17:08:44,37.1041,-113.5841,54.43,38,0,4.61,clear sky
7,Tasiilaq,GL,2022-02-10 17:10:29,65.6145,-37.6368,21.36,60,32,7.78,scattered clouds
8,Rikitea,PF,2022-02-10 17:10:30,-23.1203,-134.9692,78.64,74,18,18.01,few clouds
9,Novobirilyussy,RU,2022-02-10 17:10:30,56.9514,90.6661,-17.39,100,32,0.49,scattered clouds
10,Epe,NG,2022-02-10 17:10:30,6.5841,3.9834,85.51,65,5,10.67,clear sky
11,Souillac,MU,2022-02-10 17:10:31,-20.5167,57.5167,79.18,83,75,3.44,light rain
12,Mackay,AU,2022-02-10 17:10:31,-21.15,149.2,73.69,70,30,8.55,scattered clouds
13,Hamilton,US,2022-02-10 17:10:31,39.1834,-84.5333,44.65,63,40,12.66,scattered clouds
14,Mount Isa,AU,2022-02-10 17:10:07,-20.7333,139.5,76.77,65,65,4.61,broken clouds
15,Clermont,FR,2022-02-10 17:10:32,49.5,2.4167,47.05,94,100,11.07,light rain
16,Mbini,GQ,2022-02-10 17:10:32,1.574,9.6134,82.22,74,77,7.18,broken clouds
17,Arraial Do Cabo,BR,2022-02-10 17:10:32,-22.9661,-42.0278,71.46,94,100,3.44,mist
18,Narsaq,GL,2022-02-10 17:07:51,60.9167,-46.05,8.82,66,31,6.38,scattered clouds
19,Mar Del Plata,AR,2022-02-10 17:06:06,-38.0023,-57.5575,82.42,66,0,16.11,clear sky
20,Dharchula,IN,2022-02-10 17:10:33,29.85,80.5333,45.01,61,65,5.61,broken clouds
21,Hermanus,ZA,2022-02-10 17:10:33,-34.4187,19.2345,69.91,71,0,9.95,clear sky
22,Nikolskoye,RU,2022-02-10 17:10:34,59.7035,30.7861,36.72,90,95,10.67,overcast clouds
23,Avera,US,2022-02-10 17:10:34,33.194,-82.5271,66.38,43,3,6.82,clear sky
24,Iisalmi,FI,2022-02-10 17:10:34,63.5592,27.1907,30.22,86,100,9.57,overcast clouds
25,Port Elizabeth,ZA,2022-02-10 17:06:43,-33.918,25.5701,69.17,78,25,13.0,scattered clouds
26,Port Macquarie,AU,2022-02-10 17:10:35,-31.4333,152.9167,63.9,75,25,4.18,scattered clouds
27,Port Alfred,ZA,2022-02-10 17:10:35,-33.5906,26.891,72.27,78,17,12.26,few clouds
28,East London,ZA,2022-02-10 17:10:35,-33.0153,27.9116,73.4,75,3,4.88,clear sky
29,Nagato,JP,2022-02-10 17:10:36,34.3833,131.2,36.19,72,69,13.91,broken clouds
30,Santa Marta,CO,2022-02-10 17:10:36,11.2408,-74.199,93.34,63,34,15.05,scattered clouds
31,Saskylakh,RU,2022-02-10 17:10:36,71.9167,114.0833,4.1,94,100,13.78,light snow
32,Butaritari,KI,2022-02-10 17:10:37,3.0707,172.7902,81.27,79,32,17.25,light rain
33,Chumikan,RU,2022-02-10 17:10:37,54.7183,135.315,9.1,96,100,5.59,light snow
34,Albany,US,2022-02-10 17:09:09,42.6001,-73.9662,45.09,74,95,9.55,overcast clouds
35,Kapaa,US,2022-02-10 17:10:37,22.0752,-159.319,66.18,96,0,9.22,clear sky
36,Tevaitoa,PF,2022-02-10 17:10:38,-16.7833,-151.5,80.71,75,65,11.77,light rain
37,Georgetown,MY,2022-02-10 17:09:04,5.4112,100.3354,80.53,87,20,0.0,light rain
38,Dire,ML,2022-02-10 17:10:38,12.2833,-10.9667,98.62,7,0,8.97,clear sky
39,Avarua,CK,2022-02-10 17:10:36,-21.2078,-159.775,71.65,100,20,2.3,few clouds
40,Chokurdakh,RU,2022-02-10 17:10:39,70.6333,147.9167,-25.31,95,87,9.1,overcast clouds
41,Kalmunai,LK,2022-02-10 17:10:39,7.4167,81.8167,77.81,83,16,3.69,few clouds
42,Lavumisa,SZ,2022-02-10 17:10:39,-27.31,31.892,76.96,74,73,4.76,broken clouds
43,Victoria,HK,2022-02-10 17:09:10,22.2855,114.1577,64.45,87,100,11.99,overcast clouds
44,Pictou,CA,2022-02-10 17:06:46,45.6834,-62.7153,36.59,94,25,6.85,scattered clouds
45,Zhigansk,RU,2022-02-10 17:10:40,66.7697,123.3711,-29.29,97,91,10.63,overcast clouds
46,Thompson,CA,2022-02-10 17:09:28,55.7435,-97.8558,-6.36,97,100,12.35,light snow
47,Saint-Pierre,RE,2022-02-10 17:11:40,-21.3393,55.4781,78.48,78,75,11.5,broken clouds
48,Port Blair,IN,2022-02-10 17:09:01,11.6667,92.75,79.38,73,16,8.68,few clouds
49,Airai,TL,2022-02-10 17:10:44,-8.9266,125.4092,60.87,97,100,0.54,overcast clouds
50,Kloulklubed,PW,2022-02-10 17:11:41,7.0419,134.2556,82.06,77,99,12.68,overcast clouds
