City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hofn,IS,2022-02-02 00:29:56,64.2539,-15.2082,24.96,62,60,5.12
1,Champerico,GT,2022-02-02 00:29:56,14.3,-91.9167,84.74,61,1,8.84
2,Olafsvik,IS,2022-02-02 00:29:57,64.8945,-23.7142,35.83,68,100,13.91
3,Luderitz,NA,2022-02-02 00:29:58,-26.6481,15.1594,64.13,90,49,7.29
4,Butaritari,KI,2022-02-02 00:29:58,3.0707,172.7902,81.97,77,44,11.16
5,Rypefjord,NO,2022-02-02 00:29:59,70.6333,23.6667,21.67,49,0,6.91
6,Sjoholt,NO,2022-02-02 00:30:00,62.4837,6.8106,37.76,93,99,4.99
7,Guaimaca,HN,2022-02-02 00:30:01,14.5333,-86.8167,80.2,61,33,3.76
8,Rikitea,PF,2022-02-02 00:30:02,-23.1203,-134.9692,78.35,70,72,6.04
9,Hilo,US,2022-02-02 00:30:03,19.7297,-155.09,75.25,84,38,1.99
10,Ponta Do Sol,PT,2022-02-02 00:30:04,32.6667,-17.1,70.12,27,100,13.91
11,Punta Arenas,CL,2022-02-02 00:30:05,-53.15,-70.9167,48.31,61,40,13.8
12,Cockburn Town,TC,2022-02-02 00:30:06,21.4612,-71.1419,76.14,75,43,20.02
13,Mataura,NZ,2022-02-02 00:30:07,-46.1927,168.8643,69.76,89,94,1.95
14,Antalya,TR,2022-02-02 00:26:09,36.7741,30.7178,54.19,94,75,9.22
15,Neiafu,TO,2022-02-02 00:30:09,-18.65,-173.9833,84.88,74,20,5.75
16,Tasiilaq,GL,2022-02-02 00:30:10,65.6145,-37.6368,12.36,74,100,4.74
17,San Patricio,US,2022-02-02 00:30:11,28.017,-97.5169,70.52,76,28,7.94
18,Hermanus,ZA,2022-02-02 00:30:12,-34.4187,19.2345,67.89,82,5,4.36
19,Sampit,ID,2022-02-02 00:30:13,-2.5333,112.95,77.23,91,99,1.52
20,Henderson,US,2022-02-02 00:26:04,36.0397,-114.9819,60.24,18,0,18.41
21,Busselton,AU,2022-02-02 00:30:14,-33.65,115.3333,68.09,47,85,18.66
22,Nizhnevartovsk,RU,2022-02-02 00:30:15,60.9344,76.5531,-4.99,84,100,4.47
23,Yellowknife,CA,2022-02-02 00:28:06,62.456,-114.3525,-25.58,80,0,6.91
24,Thompson,CA,2022-02-02 00:30:16,55.7435,-97.8558,-20.04,69,0,6.91
25,Cururupu,BR,2022-02-02 00:30:17,-1.8283,-44.8683,75.99,93,91,4.85
26,Vallenar,CL,2022-02-02 00:30:17,-28.5708,-70.7581,68.23,60,0,3.38
27,Grindavik,IS,2022-02-02 00:30:18,63.8424,-22.4338,31.95,100,75,5.75
28,Bengkulu,ID,2022-02-02 00:30:19,-3.8004,102.2655,74.5,81,100,5.1
29,Makakilo City,US,2022-02-02 00:30:20,21.3469,-158.0858,80.92,51,75,6.91
30,Ushuaia,AR,2022-02-02 00:25:52,-54.8,-68.3,42.46,75,40,41.43
31,Bukama,CD,2022-02-02 00:30:22,-9.2,25.85,68.61,98,100,1.07
32,Adrar,MR,2022-02-02 00:27:09,20.5022,-10.0711,69.71,17,73,10.04
33,Mount Gambier,AU,2022-02-02 00:26:38,-37.8333,140.7667,66.11,37,40,18.41
34,Taua,BR,2022-02-02 00:30:23,-5.9667,-40.3,75.81,50,49,6.22
35,Albany,US,2022-02-02 00:25:54,42.6001,-73.9662,29.25,65,53,5.99
36,Leningradskiy,RU,2022-02-02 00:30:24,69.3833,178.4167,-9.08,92,40,10.85
37,Lavrentiya,RU,2022-02-02 00:30:25,65.5833,-171.0,1.58,81,1,15.43
38,Kapaa,US,2022-02-02 00:30:26,22.0752,-159.319,80.58,65,20,1.01
39,Clyde River,CA,2022-02-02 00:27:17,70.4692,-68.5914,-19.97,76,0,5.75
40,Mar Del Plata,AR,2022-02-02 00:28:59,-38.0023,-57.5575,70.88,76,0,5.01
41,Faya,SA,2022-02-02 00:30:28,18.3851,42.4509,52.32,62,1,4.76
42,Tiksi,RU,2022-02-02 00:30:29,71.6872,128.8694,-10.25,96,100,6.44
43,Bethel,US,2022-02-02 00:30:29,41.3712,-73.414,34.2,71,100,0.0
44,Nuuk,GL,2022-02-02 00:30:30,64.1835,-51.7216,9.21,78,100,5.75
45,Hithadhoo,MV,2022-02-02 00:27:05,-0.6,73.0833,82.33,73,5,12.26
46,Murgab,TM,2022-02-02 00:31:32,37.4966,61.9714,48.07,49,100,9.22
47,Bluff,NZ,2022-02-02 00:31:32,-46.6,168.3333,70.34,73,78,10.63
48,Dikson,RU,2022-02-02 00:28:36,73.5069,80.5464,2.7,94,100,17.25
49,Cherskiy,RU,2022-02-02 00:31:34,68.75,161.3,11.35,70,100,4.85
50,Adelaide,AU,2022-02-02 00:30:02,-34.9333,138.6,68.04,47,0,1.99
51,Wajima,JP,2022-02-02 00:31:35,37.4,136.9,34.48,86,75,2.3
52,Jamestown,US,2022-02-02 00:31:36,42.097,-79.2353,36.72,43,0,10.0
53,Asau,RO,2022-02-02 00:27:30,46.4333,26.4,27.75,93,77,5.3
54,Puerto Carreno,CO,2022-02-02 00:31:37,6.189,-67.4859,85.68,46,82,10.16
55,Djambala,CG,2022-02-02 00:31:38,-2.5447,14.7533,71.96,79,93,3.42
56,Atuona,PF,2022-02-02 00:31:38,-9.8,-139.0333,78.87,73,16,19.73
57,Iqaluit,CA,2022-02-02 00:31:39,63.7506,-68.5145,-9.31,76,75,15.01
58,Anupgarh,IN,2022-02-02 00:31:40,29.1911,73.2086,57.58,38,0,6.89
59,Sabha,LY,2022-02-02 00:31:40,27.0377,14.4283,47.52,28,4,12.1
60,Pemangkat,ID,2022-02-02 00:27:07,1.1667,108.9667,76.75,89,91,6.96
61,Mujiayingzi,CN,2022-02-02 00:31:42,42.1167,118.7833,10.22,51,0,7.18
62,Mulege,MX,2022-02-02 00:31:42,26.8833,-111.9833,68.09,44,38,0.89
63,Katsuura,JP,2022-02-02 00:31:43,35.1333,140.3,50.18,39,0,18.7
64,Meulaboh,ID,2022-02-02 00:31:44,4.1363,96.1285,76.35,86,60,4.74
65,Aguada De Pasajeros,CU,2022-02-02 00:31:44,22.385,-80.8508,71.74,84,37,12.1
66,Guerrero Negro,MX,2022-02-02 00:31:45,27.9769,-114.0611,61.05,70,89,12.93
67,Oceanside,US,2022-02-02 00:29:42,33.1959,-117.3795,64.17,69,0,3.0
68,Tura,IN,2022-02-02 00:31:46,25.5198,90.2201,51.84,73,0,2.75
